DOY,Tmin (K),Tmin std (K),Tmax (K),Tmax std (K),Tavg (K),Tavg std (K),Precip (m),Precip std (m)
261,274.7582809860642,3.4923467888928035,283.7062598376075,5.6173862680880475,279.15690601545697,4.2717359607885905,0.0027488849394247325,0.003544643419852404
262,274.7019440372101,3.6237639652836786,283.0478116722013,5.3161325631906795,278.8652395487418,4.006527728137983,0.0033010288422883247,0.003366850456229108
263,274.0231622419428,2.575800727876787,282.56704689419536,4.3981895867860965,278.31803635355885,3.2996238378582774,0.002883935165413158,0.00421463750584411
264,273.67115022626496,2.7644892613739587,282.5640354015903,5.089898485150967,278.08517523538274,3.60331555658663,0.002416307443962247,0.002976277690394861
265,273.7448842941396,3.4966828888020074,283.2036727417892,5.791079969116837,278.49030133371576,4.383671274877101,0.0017806536007027472,0.0030123344302896093
266,273.8996980559327,4.30635152732448,283.7762228476035,6.360719974236369,278.89699027696463,4.989558422672947,0.0015515170474067067,0.0023911833032951467
267,274.27618565664835,3.9852320618146706,284.00178344126704,6.1921082190420105,279.136324045992,4.869031249438166,0.0014321750329479071,0.001959453796819273
268,274.3207078038622,3.759264969542909,284.3338333617264,5.95740490333231,279.26416615479116,4.45909692336624,0.002018570804127705,0.0032163870305575173
269,275.00985477831796,3.801310364044527,283.9390995109988,5.9226253820211685,279.1806827329593,4.311313061848244,0.003635951357513177,0.004405372140792269
270,273.3295422303296,3.269576096558303,281.7804637412181,4.5558964101234585,277.4533837620691,3.7016290020147804,0.002013296084384962,0.0027258466737791055
271,272.902094810542,4.771837242041161,282.14983366045385,5.4226995857539855,277.6122879665666,4.637210296280671,0.0021313600857737654,0.003686067107552383
272,273.3546402764847,3.855768389933078,282.7285542406086,4.850692248335215,278.03743029695175,3.857748669153307,0.002098710109691207,0.003911270796709346
273,273.71057889971155,3.4756174008340555,282.8964514580055,4.258394271414602,278.1456736721629,3.373463774810673,0.002317371033449372,0.0032839562092077897
274,273.08248698916424,3.2923758413933744,282.2823655786913,4.498669683565638,277.49118304428356,3.470732626323629,0.0025686755140544573,0.0030688925513961862
275,272.09430602727423,4.017540417174264,280.91917753102445,5.317185162053515,276.3292679470353,4.322854448185585,0.00330507123283747,0.004354299775289491
276,271.30951298894115,3.540636498743464,279.83463191751764,5.730619314784909,275.4546341579728,4.185061206885391,0.002358797603093417,0.003041363267924919
277,270.7874260604821,4.433913906680354,279.76311468550847,5.143272520634121,275.27256831138675,4.211078606617699,0.0021738613795056773,0.004753611753125457
278,270.7656440453681,4.2783538774351735,280.0485192001305,4.694510488441171,275.44962335160085,3.9664539834255685,0.0014358834454576148,0.0028311948121088693
279,271.99501386262864,3.900759118198853,280.307532833015,4.592003871869997,276.02553698940415,3.8262110500346367,0.0019295381582220628,0.002273516898722685
280,271.9230323435341,4.039412631769031,279.6807548654167,4.803690005221535,275.61945022470536,3.9835441057686722,0.002244375791458904,0.0026039833656300924
281,270.9654776083457,4.586384575593152,278.57380507560566,4.075167057932205,274.730137030674,3.9495004535821603,0.001925813616069011,0.002847079807514249
282,270.69706572361605,4.694088568446171,278.41442563668517,4.559077281244916,274.5856321367644,4.29948567054539,0.0016571376232137915,0.0022042089582893563
